TABLE,PROPERTY,COUNT,PERCENT
9,Meditaranean Avenue,26626,2.66
9,Community Chest #1,25638,2.56
9,Baltic Avenue,27067,2.71
9,Income Tax,29295,2.93
9,Reading Railroad,38026,3.80
9,Oriental Avenue,26587,2.66
9,Chance #1,12167,1.22
9,Vermont Avenue,27031,2.70
9,Connecticut Avenue,27130,2.71
9,Jail,187825,18.78
9,St. Charles Place,26556,2.66
9,Electric Company,28745,2.87
9,States Avenue,27349,2.73
9,Virginia Avenue,29822,2.98
9,Pennsylvania Railroad,29386,2.94
9,St. James Place,32337,3.23
9,Community Chest #2,32261,3.23
9,Tennessee Avenue,33769,3.38
9,New York Avenue,36327,3.63
9,Free Parking,33279,3.33
9,Kentucky Avenue,31132,3.11
9,Chance #2,14438,1.44
9,Indiana Avenue,30809,3.08
9,Illinois Avenue,41493,4.15
9,B. & O. Railroad,31094,3.11
9,Atlantic Avenue,30869,3.09
9,Ventnor Avenue,30796,3.08
9,Water Works,40786,4.08
9,Marvin Gardens,29623,2.96
9,Go To Jail,29899,2.99
9,Pacific Avenue,30107,3.01
9,North Carolina Avenue,28656,2.87
9,Community Chest #3,28832,2.88
9,Pennsylvania Avenue,27550,2.76
9,Short Line Railroad,50049,5.00
9,Chance #3,11342,1.13
9,Park Place,26174,2.62
9,Luxury Tax,24966,2.50
9,Boardwalk,37039,3.70
10,Go,39339,3.93
10,Meditaranean Avenue,26469,2.65
10,Community Chest #1,25663,2.57
10,Baltic Avenue,26951,2.70
10,Income Tax,28881,2.89
10,Reading Railroad,38095,3.81
10,Oriental Avenue,26651,2.67
10,Chance #1,12086,1.21
10,Vermont Avenue,26726,2.67
10,Connecticut Avenue,27030,2.70
10,Jail,188731,18.87
10,St. Charles Place,26634,2.66
10,Electric Company,28815,2.88
10,States Avenue,27614,2.76
10,Virginia Avenue,29434,2.94
10,Pennsylvania Railroad,29501,2.95
10,St. James Place,32479,3.25
10,Community Chest #2,32533,3.25
10,Tennessee Avenue,33543,3.35
10,New York Avenue,36028,3.60
10,Free Parking,32934,3.29
10,Kentucky Avenue,31692,3.17
10,Chance #2,14514,1.45
10,Indiana Avenue,30729,3.07
10,Illinois Avenue,41560,4.16
10,B. & O. Railroad,31019,3.10
10,Atlantic Avenue,30568,3.06
10,Ventnor Avenue,30528,3.05
10,Water Works,41019,4.10
10,Marvin Gardens,29721,2.97
10,Go To Jail,30221,3.02
10,Pacific Avenue,30053,3.01
10,North Carolina Avenue,28531,2.85
10,Community Chest #3,28855,2.89
10,Pennsylvania Avenue,27584,2.76
10,Short Line Railroad,49912,4.99
10,Chance #3,11183,1.12
10,Park Place,26154,2.62
10,Luxury Tax,24939,2.49
10,Boardwalk,37278,3.73
